2026-02-08 13:30:41,207 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:02:49,269 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:06:25,089 | INFO | ipaws_research | Retrieving alerts via stratified sampling...
2026-02-08 15:06:26,064 | INFO | ipaws_research | Translating alerts across systems and languages...
2026-02-08 15:07:07,402 | INFO | ipaws_research | Segmenting source alerts and translations...
2026-02-08 15:07:07,411 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:07,706 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:07,789 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:07,868 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:07,936 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:08,006 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:08,086 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:08,165 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:08,236 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:08,326 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
